Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:04:09,9,83,15,15,,,
16:04:11,9,83,15,15,,,
16:04:12,9,83,15,15,,,
16:04:13,9,83,15,15,,,
16:04:15,9,83,15,15,,,
16:04:16,9,83,15,15,,,
16:04:17,9,83,15,15,,,
16:04:18,9,83,15,143,,,
16:04:20,9,83,15,15,,,
16:04:21,9,83,15,390,,,
16:04:22,9,83,15,698,,,
16:04:24,9,83,15,16,,,
16:04:25,9,83,15,15,,,
16:04:26,9,83,15,16,,,
16:04:28,9,83,14,190,,,
16:04:29,9,83,15,16,,,
16:04:30,9,83,15,82,,,
16:04:31,9,83,15,61,,,
16:04:33,9,83,15,16,,,
16:04:34,9,83,15,15,,,
16:04:35,9,83,14,15,,,
16:04:37,9,83,15,15,,,
16:04:38,9,83,14,16,,,
16:04:39,9,83,15,15,,,
16:04:41,9,83,15,764,,,
16:04:42,9,83,14,30,,,
16:04:43,9,83,15,16,,,
16:04:44,9,83,15,15,,,
16:04:46,9,83,15,402,,,
16:04:47,9,83,15,729,,,
16:04:48,9,83,14,455,,,
16:04:50,9,83,15,17,,,
16:04:51,9,83,15,17,,,
16:04:52,9,83,15,16,,,
16:04:54,9,83,14,16,,,
16:04:55,9,83,14,16,,,
16:04:56,9,83,14,16,,,
16:04:58,9,83,15,101,,,
16:04:59,9,83,15,17,,,
16:05:00,9,83,15,97,,,
16:05:01,9,83,15,17,,,
16:05:03,9,83,14,16,,,
16:05:04,9,83,15,16,,,
16:05:05,9,83,15,15,,,
16:05:07,9,83,15,255,,,
16:05:08,9,83,14,16,,,
16:05:09,9,83,15,17,,,
16:05:11,9,83,15,17,,,
16:05:12,9,83,14,17,,,
16:05:13,9,83,14,319,,,
16:05:14,9,83,15,17,,,
16:05:16,9,83,14,17,,,
16:05:17,9,83,15,317,,,
16:05:18,9,83,15,66,,,
16:05:20,9,83,14,17,,,
16:05:21,9,83,14,93,,,
16:05:22,9,83,14,255,,,
16:05:24,9,83,14,463,,,
16:05:25,9,83,15,17,,,
16:05:26,9,83,14,345,,,
16:05:27,9,83,15,16,,,
16:05:29,9,83,15,17,,,
16:05:30,9,83,14,222,,,
16:05:31,9,83,15,113,,,
16:05:33,9,83,13,16,,,
16:05:34,9,83,14,750,,,
16:05:35,9,83,14,59,,,
16:05:37,9,83,15,17,,,
16:05:38,9,83,13,256,,,
16:05:39,9,83,14,18,,,
16:05:40,9,83,14,17,,,
16:05:42,9,83,14,18,,,
16:05:43,9,83,14,17,,,
16:05:44,9,83,14,17,,,
16:05:46,9,83,14,17,,,
16:05:47,9,83,14,17,,,
16:05:48,9,83,14,18,,,
16:05:50,9,83,14,18,,,
16:05:51,9,83,15,69,,,
16:05:52,9,83,14,17,,,
16:05:53,9,83,14,18,,,
16:05:55,9,83,14,18,,,
16:05:56,9,83,14,18,,,
16:05:57,9,83,15,18,,,
16:05:59,9,83,13,18,,,
16:06:00,9,83,13,197,,,
16:06:01,9,83,14,18,,,
16:06:03,9,83,15,18,,,
16:06:04,9,83,14,158,,,
16:06:05,9,83,14,18,,,
16:06:07,9,83,14,125,,,
16:06:08,9,83,14,20,,,
16:06:09,9,83,14,19,,,
16:06:10,9,83,14,18,,,
16:06:12,9,83,14,75,,,
16:06:13,9,83,14,18,,,
16:06:14,9,83,14,18,,,
16:06:16,9,83,13,18,,,
16:06:17,9,83,14,19,,,
16:06:18,9,83,14,18,,,
Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:06:28,9,83,15,20,,,
16:06:29,9,83,13,74,,,
16:06:30,9,83,14,21,,,
16:06:32,9,83,13,83,,,
16:06:33,9,83,13,18,,,
16:06:34,9,83,13,470,,,
16:06:35,9,83,13,18,,,
16:06:37,9,83,14,19,,,
16:06:38,9,83,14,19,,,
16:06:39,9,83,13,19,,,
16:06:41,9,83,14,413,,,
16:06:42,9,83,13,173,,,
16:06:43,9,83,13,159,,,
16:06:45,9,83,13,19,,,
16:06:46,9,83,13,324,,,
16:06:47,9,83,13,170,,,
16:06:48,9,83,14,259,,,
16:06:50,9,83,13,22,,,
16:06:51,9,83,11,19,,,
Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:06:58,9,83,12,19,,,
16:06:59,9,83,13,19,,,
16:07:01,9,83,13,19,,,
16:07:02,9,83,13,19,,,
16:07:03,9,83,14,19,,,
16:07:04,9,83,13,13,,,
16:07:06,9,83,13,20,,,
16:07:07,9,83,13,19,,,
16:07:08,9,83,13,19,,,
16:07:10,9,83,13,20,,,
16:07:11,9,83,13,168,,,
16:07:12,9,83,13,20,,,
Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:07:25,9,83,13,122,,,
16:07:26,9,84,12,20,,,
16:07:28,9,83,14,367,,,
16:07:29,9,84,13,20,,,
16:07:30,9,84,13,20,,,
16:07:32,9,84,13,20,,,
16:07:33,9,84,13,225,,,
16:07:34,9,84,13,96,,,
16:07:35,9,84,13,20,,,
Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:07:42,9,84,14,454,,,
16:07:43,9,84,12,20,,,
16:07:45,9,84,13,20,,,
16:07:46,9,84,14,20,,,
16:07:47,9,84,13,163,,,
16:07:49,9,84,13,63,,,
16:07:50,9,84,13,20,,,
16:07:51,9,84,12,21,,,
16:07:53,9,84,13,235,,,
16:07:54,9,84,13,21,,,
16:07:55,9,84,13,20,,,
16:07:56,9,84,11,20,,,
16:07:58,9,84,12,20,,,
16:07:59,9,84,13,20,,,
16:08:00,9,84,13,20,,,
16:08:02,9,84,13,21,,,
16:08:03,9,84,13,21,,,
16:08:04,9,84,13,22,,,
16:08:06,9,84,13,23,,,
16:08:07,9,84,12,19,,,
16:08:08,9,84,12,21,,,
16:08:09,9,84,13,21,,,
16:08:11,9,84,13,21,,,
16:08:12,9,84,13,21,,,
16:08:13,9,84,13,21,,,
16:08:15,9,84,13,82,,,
16:08:16,9,84,13,21,,,
16:08:17,9,84,13,20,,,
16:08:19,9,84,12,12,,,
16:08:20,9,84,13,143,,,
16:08:21,9,84,12,20,,,
16:08:22,9,84,13,21,,,
16:08:24,9,84,13,21,,,
16:08:25,9,84,13,20,,,
16:08:26,9,84,13,94,,,
16:08:28,9,84,13,21,,,
16:08:29,9,84,12,22,,,
16:08:30,9,84,12,21,,,
16:08:32,9,84,12,22,,,
16:08:33,9,84,13,21,,,
16:08:34,9,84,12,21,,,
16:08:36,9,84,13,21,,,
16:08:37,9,84,12,21,,,
16:08:38,9,84,13,21,,,
16:08:39,9,84,13,21,,,
16:08:41,9,84,13,21,,,
16:08:42,9,84,13,82,,,
16:08:43,9,84,13,22,,,
16:08:45,9,84,12,22,,,
16:08:46,9,84,12,21,,,
16:08:47,9,84,13,21,,,
16:08:49,9,84,12,22,,,
16:08:50,9,84,13,115,,,
16:08:51,9,84,13,22,,,
16:08:52,9,84,13,21,,,
16:08:54,9,84,13,21,,,
16:08:55,9,84,13,22,,,
16:08:56,9,84,13,21,,,
16:08:58,9,84,13,22,,,
16:08:59,9,84,12,21,,,
16:09:00,9,84,13,22,,,
16:09:01,9,84,12,22,,,
Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:09:10,9,84,13,22,,,
16:09:12,9,84,12,22,,,
16:09:13,9,84,13,21,,,
16:09:14,9,84,13,22,,,
16:09:16,9,84,12,22,,,
16:09:17,9,84,13,22,,,
16:09:18,9,84,12,22,,,
16:09:20,9,84,12,22,,,
16:09:21,9,84,13,26,,,
16:09:22,9,84,12,22,,,
16:09:23,9,84,13,65,,,
Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:09:31,9,84,12,23,,,
